Open Datetime,Close Datetime,Symbol,Side,Volume,Exec Count,Entry Price,Exit Price,Gross P&L,Gross P&L (%),Shared,Notes,Tags,Gross P&L (t),Position MFE,Position MAE,Price MFE,Price MAE,Position MFE Datetime,Position MAE Datetime,Price MFE Datetime,Price MAE Datetime
2026-03-23 11:14:47,2026-03-23 11:23:38,SATL,L,200,2,4.39,4.38,-1.0,-0.23,false,,"","",0.0,-9.99,0.0,-0.0999,"",2026-03-23 11:18:00,2026-03-23 11:14:47,2026-03-23 11:18:00
2026-03-23 11:13:00,2026-03-23 11:13:15,SATL,L,200,2,4.38,4.39,1.0,0.23,false,,"","",1.0,0.0,0.02,-0.005,2026-03-23 11:13:00,"",2026-03-23 11:13:00,2026-03-23 11:13:00
2026-03-23 11:12:37,2026-03-23 11:12:52,SATL,L,200,2,4.41,4.41,0.0,0.00,false,,"","",0.0,0.0,0.01,-0.04,"","",2026-03-23 11:12:00,2026-03-23 11:12:00
2026-03-23 11:11:03,2026-03-23 11:11:21,SATL,L,100,2,4.37,4.38,0.5,0.23,false,,"","",0.5,0.0,0.03,-0.005,2026-03-23 11:11:00,"",2026-03-23 11:11:00,2026-03-23 11:11:00
2026-03-23 11:08:06,2026-03-23 11:08:10,SATL,L,100,2,4.33,4.34,0.5,0.23,false,,"","",0.5,0.0,0.02,0.0,2026-03-23 11:08:00,"",2026-03-23 11:08:00,2026-03-23 11:08:00
2026-03-23 10:32:14,2026-03-23 11:07:27,SATL,L,100,2,4.31,4.32,0.5,0.23,false,,"","",0.995,-7.0,0.0199,-0.14,2026-03-23 10:37:00,2026-03-23 10:52:00,2026-03-23 10:37:00,2026-03-23 10:52:00
2026-03-23 10:30:47,2026-03-23 10:31:08,SATL,L,100,2,4.28,4.3,1.0,0.47,false,,"","",1.0,0.0,0.02,0.0,2026-03-23 10:31:08,"",2026-03-23 10:31:08,2026-03-23 10:30:47
2026-03-23 10:24:44,2026-03-23 10:27:36,SATL,L,40,2,4.33,4.27,-1.2,-1.39,false,,"","",0.4,-1.2,0.02,-0.06,2026-03-23 10:25:00,2026-03-23 10:27:36,2026-03-23 10:25:00,2026-03-23 10:27:36
2026-03-23 10:21:54,2026-03-23 10:22:08,SATL,L,40,2,4.31,4.33,0.4,0.46,false,,"","",0.4,0.0,0.02,0.0,2026-03-23 10:22:08,"",2026-03-23 10:22:08,2026-03-23 10:21:54
2026-03-20 15:44:42,2026-03-20 15:45:54,ANNA,L,20,2,7.45,7.46,0.1,0.13,false,,"","",0.1,0.0,0.01,0.0,2026-03-20 15:45:54,"",2026-03-20 15:45:54,2026-03-20 15:44:42
2026-03-20 15:41:10,2026-03-20 15:44:00,ANNA,L,20,2,7.41,7.42,0.1,0.13,false,,"","",0.8,-1.75,0.08,-0.175,2026-03-20 15:43:00,2026-03-20 15:42:00,2026-03-20 15:43:00,2026-03-20 15:42:00
2026-03-20 15:39:07,2026-03-20 15:40:07,ANNA,L,20,2,7.42,7.42,0.0,0.00,false,,"","",0.0,0.0,0.0,0.0,"","",2026-03-20 15:39:07,2026-03-20 15:39:07
2026-03-20 15:38:09,2026-03-20 15:38:34,ANNA,L,20,2,7.42,7.45,0.3,0.40,false,,"","",0.3,0.0,0.09,-0.06,2026-03-20 15:38:00,"",2026-03-20 15:38:00,2026-03-20 15:38:00
2026-03-20 14:36:44,2026-03-20 14:38:54,ANNA,L,20,2,7.15,7.15,0.0,0.00,false,,"","",0.3,-2.7,0.03,-0.27,2026-03-20 14:37:00,2026-03-20 14:37:00,2026-03-20 14:37:00,2026-03-20 14:37:00
2026-03-20 14:34:06,2026-03-20 14:34:13,ANNA,L,20,2,7.64,7.7,0.6,0.79,false,,"","",0.6,0.0,0.08,-0.5,2026-03-20 14:34:00,"",2026-03-20 14:34:00,2026-03-20 14:34:00
2026-03-20 14:27:49,2026-03-20 14:28:31,ANNA,L,20,2,7.34,7.33,-0.1,-0.14,false,,"","",0.0,-0.1,0.0,-0.01,"",2026-03-20 14:28:31,2026-03-20 14:27:49,2026-03-20 14:28:31
